                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00219,                0.00025,                0.00118,                0.00012,                    nan,                    nan,                    nan,              0.0033324,              0.0033324,              0.0033324
                      2,                    nan,                    nan,                    nan,                0.00215,                0.00025,                0.00115,                0.00022,                    nan,                    nan,                    nan,              0.0065458,              0.0065458,              0.0065458
                      3,                    nan,                    nan,                    nan,                0.00216,                0.00025,                0.00117,                0.00023,                    nan,                    nan,                    nan,              0.0096391,              0.0096391,              0.0096391
                      4,                    nan,                    nan,                    nan,                0.00216,                0.00025,                0.00116,                0.00023,                    nan,                    nan,                    nan,                0.00946,                0.00946,                0.00946
                      5,                    nan,                    nan,                    nan,                0.00217,                0.00025,                0.00116,                0.00023,                    nan,                    nan,                    nan,                0.00928,                0.00928,                0.00928
                      6,                    nan,                    nan,                    nan,                0.00214,                0.00025,                0.00115,                0.00022,                    nan,                    nan,                    nan,                 0.0091,                 0.0091,                 0.0091
                      7,                    nan,                    nan,                    nan,                0.00215,                0.00025,                0.00115,                0.00022,                    nan,                    nan,                    nan,                0.00892,                0.00892,                0.00892
